Pengacara_ID,Nama_Pengacara,Tgl_Bgb_Pca,Spesialisasi,No_Tlp_Pca,Alamat_Pengacara,Email_Pengacara,Tempat_Lahir_Pca,Tgl_Lhr_Pca,Gender_Pengacara
503,"R.M. Kacung Yuliarti, S.T.",2025-04-02,Hukum Tata Negara,(0609) 958-3864,"Gg. Dipatiukur No. 88, Batam, Sulawesi Tenggara 56032",pengacara503_cover-care-inside@pt.mil.id,Purwokerto,1984-08-16,Wanita
504,drg. Maimunah Lailasari,2024-03-28,Hukum Bisnis,+62 (0825) 787 ,"Gang S. Parman No. 1, Pariaman, JT 80388",pengacara504_class-rich-week@cv.or.id,Tangerang Selatan,1991-11-29,Laki-Laki
505,"Drs. Bagas Latupono, S.Kom",2025-01-06,Hukum Bisnis,(033) 224-6890,"Jalan Kapten Muslihat No. 52, Solok, NT 45064",pengacara505_news-reveal-reality@perum.ponpes.id,Bau-Bau,1982-05-20,Wanita
506,"Drs. Latika Sihombing, S.Farm",2024-03-16,Hukum Pidana,+62 (53) 531-62,"Jalan PHH. Mustofa No. 0, Cirebon, MU 10543",pengacara506_economic-those-its@cv.com,Cimahi,1979-12-01,Laki-Laki
507,Tgk. Hani Mansur,2024-11-14,Hukum Tata Negara,+62 (349) 047-5,"Jl. Tebet Barat Dalam No. 82, Pasuruan, BA 69935",pengacara507_chance-before-yeah@ud.or.id,Blitar,1971-08-16,Laki-Laki
508,Elma Anggriawan,2024-09-16,Hukum Tata Negara,(085) 954 9803,"Jalan M.H Thamrin No. 792, Pekalongan, YO 83987",pengacara508_performance-society@perum.ponpes.id,Binjai,1973-09-01,Wanita
509,Prabu Hartati,2024-01-02,Hukum Pajak,+62-005-439-687,"Gg. Stasiun Wonokromo No. 728, Surabaya, RI 92904",pengacara509_cost-animal-benefit@pt.sch.id,Kupang,1986-01-12,Wanita
510,R.A. Sabrina Januar,2025-12-10,Hukum Pidana,(0170) 576-6495,"Gg. Ronggowarsito No. 77, Kota Administrasi Jakarta Barat, Papua Barat 19660",pengacara510_hold-grow-point@cv.desa.id,Tebingtinggi,1975-06-06,Laki-Laki
511,Ibrani Pudjiastuti,2025-10-22,Hukum Pidana,+62 (497) 249-0,"Jalan Otto Iskandardinata No. 45, Sibolga, Maluku Utara 60136",pengacara511_argue-husband-month@ud.edu,Sungai Penuh,1971-07-18,Laki-Laki
512,"Dr. Jayeng Hassanah, S.T.",2025-08-26,Hukum Bisnis,(0151) 987 2954,"Gg. Jayawijaya No. 035, Samarinda, JB 92346",pengacara512_bed-production-also@perum.or.id,Banda Aceh,1979-08-10,Wanita
513,"KH. Purwa Halim, S.Pd",2025-05-25,Hukum Pidana,0836244236,"Jalan Kutisari Selatan No. 353, Batu, GO 00621",pengacara513_meeting@pt.web.id,Bitung,1978-11-22,Laki-Laki
514,R.M. Opan Putra,2024-05-15,Hukum Properti,+62 (196) 792 3,"Jl. Sukabumi No. 43, Ambon, PB 86523",pengacara514_sound-practice@pt.net,Madiun,1990-04-14,Laki-Laki
515,Marsudi Kuswandari,2024-05-07,Hukum Pidana,+62 (022) 406-5,"Gg. Setiabudhi No. 157, Manado, Kalimantan Barat 68540",pengacara515_action-scene-wife@cv.biz.id,Jambi,1992-10-10,Laki-Laki
516,Gandi Narpati,2024-07-28,Hukum Pidana,+62 (0669) 819-,"Jl. Pacuan Kuda No. 7, Tangerang Selatan, JT 49076",pengacara516_with-performance@cv.com,Purwokerto,1984-08-09,Wanita
517,"R.A. Cici Nasyidah, M.TI.",2025-10-06,Hukum Bisnis,+62 (62) 762 41,"Jl. R.E Martadinata No. 23, Cilegon, SU 51288",pengacara517_once-certain-nation@cv.biz.id,Prabumulih,1975-02-23,Laki-Laki
518,Tgk. Samiah Uyainah,2024-03-02,Hukum Kepailitan,+62 (351) 451-2,"Gg. Pasir Koja No. 64, Pangkalpinang, Aceh 85813",pengacara518_film-local-table@pt.gov,Parepare,1988-09-18,Wanita
519,Dimas Saputra,2024-12-22,Hukum Perdata,+62 (0858) 836-,"Gg. Kiaracondong No. 6, Sawahlunto, JI 71144",pengacara519_contain-such-so@pd.org,Pekalongan,1977-07-24,Wanita
520,"T. Cahyanto Hutagalung, S.H.",2024-01-05,Hukum Pajak,(080) 576-4636,"Gg. S. Parman No. 1, Mataram, Kalimantan Tengah 95524",pengacara520_quickly-consumer@cv.net.id,Tangerang,1986-01-12,Laki-Laki
521,R. Nova Samosir,2025-10-16,Hukum Pidana,(074) 091-1364,"Gang Raya Setiabudhi No. 34, Salatiga, Kalimantan Selatan 40229",pengacara521_officer-want-its@ud.go.id,Yogyakarta,1971-08-19,Laki-Laki
522,"Dt. Jasmani Hakim, S.E.I",2024-06-28,Hukum Bisnis,+62-92-583-0340,"Gg. Laswi No. 37, Padang Sidempuan, Maluku Utara 11734",pengacara522_age-nation-every@cv.go.id,Banda Aceh,1985-09-20,Wanita
523,"drg. Balamantri Prakasa, S.Pd",2024-02-04,Hukum Keluarga,+62 (60) 598-91,"Jl. Kutisari Selatan No. 77, Serang, Nusa Tenggara Timur 95364",pengacara523_building-someone@ud.net,Singkawang,1978-06-12,Wanita
524,R.A. Syahrini Tampubolon,2024-05-18,Hukum Properti,+62-0039-915-36,"Gang Antapani Lama No. 6, Jayapura, Jawa Timur 92168",pengacara524_design-cut-hope@ud.gov,Denpasar,1971-03-22,Laki-Laki
525,Nasab Lazuardi,2025-11-02,Hukum Bisnis,+62 (089) 478-3,"Gang R.E Martadinata No. 09, Palu, Gorontalo 59186",pengacara525_maintain-her@cv.net,Tangerang Selatan,1985-01-14,Laki-Laki
526,Queen Maheswara,2024-10-19,Hukum Pajak,(015) 748 9248,"Gang Kendalsari No. 1, Sukabumi, Papua 08926",pengacara526_appear-president@pd.web.id,Bekasi,1972-03-01,Wanita
527,"Praba Lestari, S.I.Kom",2024-07-06,Hukum Keluarga,+62 (68) 049-68,"Gang Kendalsari No. 39, Mataram, Kalimantan Selatan 06668",pengacara527_pressure-network@pd.net.id,Palembang,1993-02-28,Wanita
528,"Ir. Lembah Suryono, M.Pd",2025-12-27,Hukum Pidana,+62 (0065) 559-,"Jalan Soekarno Hatta No. 68, Lubuklinggau, Kalimantan Selatan 17686",pengacara528_leave-war-still@pt.sch.id,Kota Administrasi Jakarta Utara,1970-06-01,Wanita
529,R. Galiono Fujiati,2024-01-25,Hukum Pidana,(0817) 823-9644,"Gg. Indragiri No. 5, Sukabumi, Nusa Tenggara Barat 69222",pengacara529_material-true@pt.gov,Magelang,1971-01-02,Wanita
530,Wira Simanjuntak,2024-01-20,Hukum Keluarga,087 759 8849,"Gg. M.T Haryono No. 72, Pontianak, Sulawesi Barat 12992",pengacara530_wear-show-source@perum.co.id,Meulaboh,1982-01-13,Wanita
531,"Rendy Permata, S.Psi",2024-05-10,Hukum Tata Negara,+62 (799) 308-7,"Jl. Cihampelas No. 40, Tual, Sulawesi Tengah 17448",pengacara531_west-capital-fly@ud.edu,Cimahi,1986-04-16,Laki-Laki
532,Elma Sudiati,2024-11-18,Hukum Tata Negara,(0571) 975-8635,"Jalan Medokan Ayu No. 51, Madiun, Sulawesi Barat 55581",pengacara532_relate-cell-hour@pt.org,Pagaralam,1970-12-20,Laki-Laki
533,Ellis Suartini,2024-02-20,Hukum Properti,+62-077-909-356,"Gang Setiabudhi No. 00, Banjar, Sulawesi Tenggara 94286",pengacara533_gun-tv-early-wear@pt.ac.id,Tomohon,1972-12-06,Wanita
534,Belinda Yulianti,2024-05-17,Hukum Perdata,+62-867-674-355,"Gg. Cikutra Timur No. 2, Kotamobagu, KT 26322",pengacara534_like-ball-those@pt.net,Bau-Bau,1975-08-22,Laki-Laki
535,Indah Prastuti,2024-02-17,Hukum Keluarga,+62-0223-678-14,"Jalan Kutai No. 228, Sorong, Jawa Timur 39818",pengacara535_raise-table-series@cv.mil,Prabumulih,1978-02-21,Wanita
536,Karman Prakasa,2025-07-09,Hukum Pidana,(0384) 290 5810,"Jl. Moch. Ramdan No. 11, Salatiga, MA 87525",pengacara536_thousand-girl-take@perum.mil,Kota Administrasi Jakarta Utara,1994-09-21,Wanita
537,Leo Hutapea,2024-01-07,Hukum Kepailitan,+62-036-170-731,"Gang Cikapayang No. 21, Kota Administrasi Jakarta Pusat, Sumatera Utara 73624",pengacara537_film-risk-most@perum.co.id,Tual,1984-09-28,Laki-Laki
538,Cengkal Nasyidah,2024-02-21,Hukum Keluarga,+62 (211) 520 6,"Gg. Gardujati No. 886, Kediri, KR 16082",pengacara538_both-theory-husband@pt.gov,Bitung,1976-04-11,Wanita
539,Lintang Uyainah,2025-09-17,Hukum Tata Negara,+62 (51) 239 59,"Gang Medokan Ayu No. 91, Cirebon, Jawa Timur 80177",pengacara539_laugh-example-sort@ud.mil,Bogor,1994-01-09,Laki-Laki
540,Queen Farida,2024-11-02,Hukum Perdata,084 749 2634,"Jalan Sukabumi No. 17, Batu, KI 25189",pengacara540_wait-away-travel-a@pd.id,Dumai,1995-02-15,Laki-Laki
541,"Nyana Mardhiyah, S.Psi",2024-08-24,Hukum Bisnis,+62-034-733-398,"Gg. S. Parman No. 321, Kendari, Sulawesi Barat 88494",pengacara541_box-painting-fall@ud.web.id,Madiun,1984-10-06,Wanita
542,Ivan Setiawan,2025-08-04,Hukum Keluarga,0849708194,"Jalan Kebonjati No. 70, Bandar Lampung, GO 65354",pengacara542_pretty-stop-bar@perum.biz.id,Magelang,1970-11-13,Wanita
543,Sutan Dalimin Wacana,2024-06-17,Hukum Perdata,(0781) 813-0900,"Gang Suniaraja No. 796, Dumai, YO 26797",pengacara543_describe-tough-can@ud.web.id,Solok,1992-07-03,Wanita
544,Wadi Santoso,2024-04-28,Hukum Pidana,+62 (021) 003 9,"Jl. BKR No. 5, Batu, MU 40952",pengacara544_factor-seem-poor@pt.desa.id,Singkawang,1976-02-13,Wanita
545,"Johan Handayani, S.Pt",2024-11-28,Hukum Pajak,+62 (025) 359-0,"Gang Jend. Sudirman No. 72, Pangkalpinang, AC 33451",pengacara545_me-first-over@pt.gov,Sorong,1972-11-26,Laki-Laki
546,Gina Maulana,2025-11-28,Hukum Tata Negara,+62 (851) 946-4,"Jalan Dipenogoro No. 8, Sabang, GO 58614",pengacara546_follow-subject@ud.go.id,Depok,1980-01-21,Laki-Laki
547,"Ulya Riyanti, S.Ked",2024-05-04,Hukum Pajak,+62 (055) 608 2,"Gang Surapati No. 6, Balikpapan, Papua Barat 14261",pengacara547_well-among-standard@perum.ponpes.id,Kotamobagu,1984-07-09,Laki-Laki
548,Citra Lailasari,2024-08-28,Hukum Perdata,+62-030-286-128,"Gg. Ahmad Yani No. 63, Lubuklinggau, Kalimantan Barat 06043",pengacara548_with-cup-hand-laugh@pt.ac.id,Tidore Kepulauan,1978-03-13,Wanita
549,"Prabawa Hidayat, S.Farm",2025-11-25,Hukum Pajak,+62 (056) 446-4,"Jalan Moch. Toha No. 7, Samarinda, Sulawesi Tenggara 86335",pengacara549_involve-let-his@cv.gov,Metro,1995-09-11,Wanita
550,Yunita Hastuti,2024-12-15,Hukum Bisnis,+62 (928) 411 3,"Gg. Tubagus Ismail No. 0, Padang Sidempuan, Jawa Barat 46758",pengacara550_focus-television@pt.com,Bukittinggi,1986-11-29,Wanita
551,Rudi Purnawati,2024-04-12,Hukum Pidana,+62 (0098) 348 ,"Jalan Dipatiukur No. 90, Kota Administrasi Jakarta Utara, ST 34412",pengacara551_around-main-others@ud.or.id,Sukabumi,1988-09-13,Wanita
552,Cengkal Sihotang,2024-01-31,Hukum Tata Negara,+62 (061) 601-9,"Jalan Tebet Barat Dalam No. 61, Batu, JB 08150",pengacara552_fly-determine-spend@cv.co.id,Payakumbuh,1986-12-03,Laki-Laki
553,"Martaka Firmansyah, M.Ak",2024-01-11,Hukum Bisnis,+62 (83) 888-73,"Jalan Cihampelas No. 749, Malang, Sulawesi Tenggara 91902",pengacara553_capital-develop@perum.web.id,Denpasar,1990-09-25,Laki-Laki
554,R. Shakila Maryadi,2024-02-01,Hukum Pajak,+62-046-343-499,"Jl. KH Amin Jasuta No. 8, Kota Administrasi Jakarta Utara, SN 92975",pengacara554_employee-physical@pd.ponpes.id,Manado,1982-11-21,Wanita
555,"Drs. Gambira Waskita, M.M.",2024-03-03,Hukum Pidana,(0400) 272 5644,"Gg. Dipatiukur No. 00, Palopo, Bengkulu 44863",pengacara555_recent-right-yes@cv.or.id,Serang,1976-06-26,Laki-Laki
556,"Dr. Eva Hidayat, M.TI.",2025-05-27,Hukum Perdata,+62-012-423-996,"Gg. Kiaracondong No. 10, Tual, Papua 61505",pengacara556_move-already-young@cv.int,Jayapura,1986-06-13,Wanita
557,Tgk. Dewi Dabukke,2024-08-22,Hukum Keluarga,(0536) 172 3071,"Jl. Otto Iskandardinata No. 46, Padangpanjang, Jawa Timur 21840",pengacara557_might-or-if-why@pd.co.id,Tegal,1973-06-03,Wanita
558,Almira Pranowo,2025-01-27,Hukum Properti,+62-513-450-855,"Gg. Joyoboyo No. 5, Tarakan, Sulawesi Tenggara 11976",pengacara558_win-election-beyond@perum.web.id,Batu,1978-04-08,Wanita
559,"Dr. Jumari Zulkarnain, M.Kom.",2024-01-29,Hukum Bisnis,(0090) 150-2697,"Jalan Jamika No. 0, Batu, SR 04261",pengacara559_any-author-around@pd.biz.id,Pekalongan,1971-07-28,Laki-Laki
560,"Jais Ardianto, S.IP",2025-08-11,Hukum Pajak,+62 (001) 368 9,"Gang Lembong No. 9, Bukittinggi, GO 68564",pengacara560_person-join-thus@cv.or.id,Palopo,1990-10-01,Laki-Laki
561,Gasti Yulianti,2025-06-05,Hukum Properti,+62 (61) 422 37,"Gang Kebonjati No. 451, Bandung, Kalimantan Tengah 14334",pengacara561_development-within@pt.co.id,Kota Administrasi Jakarta Barat,1986-09-21,Wanita
562,"R.M. Edi Ardianto, M.M.",2024-05-25,Hukum Pidana,+62 (965) 660-4,"Gg. Bangka Raya No. 463, Tangerang Selatan, Sulawesi Tenggara 54584",pengacara562_goal-effort-short@cv.int,Ternate,1982-08-16,Laki-Laki
563,"Ellis Wahyudin, M.Kom.",2025-01-04,Hukum Bisnis,+62 (79) 031 90,"Gang Raya Ujungberung No. 8, Bukittinggi, SB 00804",pengacara563_beautiful-station@pt.sch.id,Bengkulu,1980-11-27,Laki-Laki
564,Reksa Situmorang,2024-01-03,Hukum Pajak,+62-067-843-417,"Gg. Moch. Toha No. 55, Cilegon, Maluku 61106",pengacara564_box-hand-forget-put@perum.mil.id,Kota Administrasi Jakarta Barat,1978-12-07,Laki-Laki
565,"drg. Carla Putra, M.Kom.",2024-09-26,Hukum Tata Negara,+62-0927-291-07,"Gang Cikutra Barat No. 4, Semarang, JA 11229",pengacara565_director-hundred@ud.desa.id,Tomohon,1975-09-09,Wanita
566,"T. Salman Lestari, S.H.",2025-07-09,Hukum Bisnis,+62 (648) 219-3,"Gang Ronggowarsito No. 04, Meulaboh, SS 99189",pengacara566_unit-first-that@cv.gov,Bandung,1993-11-27,Laki-Laki
567,Karya Napitupulu,2024-11-03,Hukum Keluarga,+62 (009) 460 0,"Jl. Astana Anyar No. 398, Tidore Kepulauan, GO 19972",pengacara567_continue-total@pd.int,Depok,1974-04-12,Laki-Laki
568,Radit Handayani,2025-09-05,Hukum Bisnis,+62 (546) 192-5,"Gang Kutai No. 123, Langsa, Kalimantan Timur 22027",pengacara568_half-pressure@pt.mil,Padangpanjang,1981-02-20,Wanita
569,"Lalita Damanik, M.Kom.",2025-04-06,Hukum Pidana,+62 (0628) 932 ,"Jl. Bangka Raya No. 75, Depok, JT 50681",pengacara569_let-expert-charge@pt.mil.id,Banda Aceh,1982-07-31,Laki-Laki
570,Dt. Dagel Pradana,2025-04-09,Hukum Properti,+62 (89) 043 71,"Jalan Erlangga No. 5, Bengkulu, MA 42040",pengacara570_also-lose-financial@pd.edu,Surabaya,1992-03-23,Laki-Laki
571,"Cut Malika Wacana, S.Gz",2025-10-05,Hukum Kepailitan,(003) 813-0493,"Jalan Kiaracondong No. 65, Tidore Kepulauan, KI 44807",pengacara571_follow-also-owner@pt.co.id,Sukabumi,1995-01-07,Laki-Laki
572,Salsabila Palastri,2025-02-24,Hukum Pidana,(068) 088 5312,"Jalan Pasteur No. 91, Langsa, MA 54651",pengacara572_concern-fear-why@pd.int,Bandung,1978-01-04,Laki-Laki
573,Paiman Kurniawan,2025-04-30,Hukum Keluarga,+62 (031) 956 5,"Gang Jend. A. Yani No. 703, Dumai, KB 23798",pengacara573_daughter-economic@perum.or.id,Bengkulu,1991-05-14,Wanita
574,Daniswara Samosir,2025-02-11,Hukum Tata Negara,(085) 578-4528,"Gang Otto Iskandardinata No. 732, Tegal, Aceh 50939",pengacara574_key-spring-crime@pd.desa.id,Serang,1987-04-27,Wanita
575,Rachel Mandasari,2025-05-03,Hukum Perdata,(024) 327 1777,"Jalan Dipatiukur No. 1, Kota Administrasi Jakarta Utara, Sulawesi Tengah 53683",pengacara575_ever-political@pt.net.id,Palembang,1990-07-12,Wanita
576,Gabriella Siregar,2025-07-01,Hukum Kepailitan,(034) 859-1445,"Jalan Astana Anyar No. 4, Palembang, KB 66683",pengacara576_beat-various-though@cv.org,Sorong,1986-03-20,Wanita
577,Garda Adriansyah,2025-12-21,Hukum Keluarga,+62 (039) 152-3,"Jl. Cikutra Barat No. 1, Padang, Jawa Tengah 83668",pengacara577_him-though-the@cv.int,Tasikmalaya,1979-03-18,Laki-Laki
578,Raditya Hidayat,2024-12-29,Hukum Kepailitan,(0935) 448 3345,"Gang R.E Martadinata No. 139, Tangerang Selatan, Banten 51918",pengacara578_already-move@perum.my.id,Banjar,1970-02-04,Wanita
579,Prabowo Wijayanti,2024-11-16,Hukum Kepailitan,+62 (953) 234-1,"Jl. Otto Iskandardinata No. 661, Tual, Sulawesi Tengah 38174",pengacara579_career-these-early@cv.biz.id,Banjarbaru,1975-07-31,Wanita
580,Marwata Kuswoyo,2024-08-27,Hukum Perdata,+62 (126) 058 8,"Jalan Cikapayang No. 82, Padang, Papua Barat 02897",pengacara580_player-compare@ud.gov,Tegal,1987-09-12,Laki-Laki
581,Laila Anggriawan,2024-06-28,Hukum Tata Negara,+62 (0250) 016 ,"Gang Astana Anyar No. 94, Jayapura, ST 76603",pengacara581_into-on-series-will@pd.com,Padangpanjang,1992-08-05,Laki-Laki
582,Dewi Purwanti,2024-10-24,Hukum Keluarga,+62-65-946-5113,"Jl. Moch. Ramdan No. 787, Sawahlunto, KB 47185",pengacara582_skin-close-ball@perum.my.id,Banda Aceh,1983-02-10,Laki-Laki
583,Ade Irawan,2025-08-29,Hukum Bisnis,+62 (0378) 930-,"Jl. Rajawali Barat No. 699, Manado, Kepulauan Bangka Belitung 65381",pengacara583_same-open-direction@ud.mil,Binjai,1981-09-13,Laki-Laki
584,Hairyanto Samosir,2025-03-13,Hukum Kepailitan,+62 (031) 189-8,"Gang Raya Setiabudhi No. 9, Bitung, Kalimantan Timur 72477",pengacara584_wide-record-life@cv.co.id,Medan,1981-06-05,Laki-Laki
585,Dalima Suryatmi,2024-03-29,Hukum Properti,+62-784-789-149,"Gg. Wonoayu No. 927, Probolinggo, Kepulauan Riau 47210",pengacara585_court-skill-task@cv.or.id,Pekanbaru,1985-02-08,Laki-Laki
586,Puti Gabriella Hakim,2024-10-03,Hukum Pajak,(0276) 106 6500,"Jl. Pacuan Kuda No. 954, Kota Administrasi Jakarta Pusat, BA 58481",pengacara586_begin-treat-network@pt.web.id,Semarang,1983-07-06,Laki-Laki
587,"Nyana Melani, M.Farm",2024-02-17,Hukum Bisnis,088 450 9301,"Jl. Kiaracondong No. 0, Singkawang, KB 86054",pengacara587_particularly-any@pt.mil,Depok,1983-12-13,Wanita
588,Suci Sitorus,2025-12-25,Hukum Tata Negara,+62-69-848-9234,"Jl. Cikutra Timur No. 18, Magelang, SS 48209",pengacara588_wonder-hotel-father@cv.org,Sukabumi,1971-05-01,Laki-Laki
589,"H. Rusman Nasyidah, S.Sos",2025-09-27,Hukum Pidana,+62-10-551-2337,"Gg. Cempaka No. 953, Pangkalpinang, NT 50977",pengacara589_low-bit-herself@perum.ac.id,Yogyakarta,1974-09-01,Wanita
590,"Dasa Kuswandari, S.Psi",2024-04-13,Hukum Pidana,+62 (35) 614-27,"Jl. Gegerkalong Hilir No. 9, Kotamobagu, Riau 64165",pengacara590_newspaper-finish@perum.sch.id,Banjar,1978-05-07,Wanita
591,Mahmud Marpaung,2024-12-31,Hukum Perdata,+62 (0077) 183 ,"Gang Asia Afrika No. 235, Pariaman, KS 30584",pengacara591_month-away-field@pd.id,Pagaralam,1974-08-29,Laki-Laki
592,Drs. Tri Pratiwi,2024-07-20,Hukum Pajak,(012) 032 0823,"Jl. Kebonjati No. 7, Pematangsiantar, Kalimantan Barat 48948",pengacara592_serve-tree-station@ud.int,Solok,1983-01-25,Laki-Laki
593,Garan Wasita,2025-11-23,Hukum Keluarga,(0918) 246-3326,"Jalan BKR No. 1, Surabaya, Maluku Utara 42262",pengacara593_attorney-against@perum.com,Bekasi,1984-09-30,Laki-Laki
594,Unggul Wijaya,2024-07-16,Hukum Bisnis,081 790 8622,"Gg. Gardujati No. 4, Ambon, Kalimantan Timur 92024",pengacara594_activity-hard@pd.net.id,Kediri,1980-12-11,Wanita
595,"Tedi Rajasa, S.Pt",2024-10-12,Hukum Kepailitan,+62 (389) 982-1,"Gang Ronggowarsito No. 87, Purwokerto, SU 06905",pengacara595_health-visit-apply@ud.my.id,Palu,1993-04-22,Laki-Laki
596,R.A. Yani Kuswandari,2025-05-11,Hukum Properti,+62 (83) 478 09,"Gang Erlangga No. 701, Purwokerto, Kalimantan Selatan 07452",pengacara596_feel-quality-apply@ud.com,Tomohon,1981-06-28,Wanita
597,"Dr. Ciaobella Haryanto, M.TI.",2024-03-23,Hukum Kepailitan,+62 (53) 762-34,"Gg. Tubagus Ismail No. 191, Semarang, BT 92101",pengacara597_walk-likely-foot@perum.ac.id,Kota Administrasi Jakarta Timur,1970-08-28,Laki-Laki
598,Sari Anggraini,2025-10-16,Hukum Properti,+62 (92) 009-84,"Jl. Cempaka No. 70, Bandung, DI Yogyakarta 01099",pengacara598_population-dream@pd.id,Banda Aceh,1990-05-01,Wanita
599,Icha Siregar,2024-05-27,Hukum Bisnis,+62 (016) 322-2,"Gg. Pasir Koja No. 9, Sibolga, AC 78221",pengacara599_still-deal-summer@perum.go.id,Purwokerto,1982-07-02,Wanita
600,Luhung Prakasa,2025-11-09,Hukum Keluarga,+62 (0998) 421-,"Jl. Rawamangun No. 179, Sibolga, SN 43971",pengacara600_certain-talk@perum.id,Palangkaraya,1971-07-16,Wanita
601,Amalia Marbun,2024-06-06,Hukum Perdata,+62-0171-044-54,"Jl. Waringin No. 2, Sabang, AC 13357",pengacara601_nice-parent-new@pd.gov,Jambi,1994-03-03,Wanita
602,Cager Sihombing,2024-12-02,Hukum Keluarga,(0282) 797-9189,"Gg. Ahmad Yani No. 813, Kota Administrasi Jakarta Utara, Sumatera Utara 92067",pengacara602_beat-final-leave@pd.my.id,Kota Administrasi Jakarta Selatan,1983-07-15,Wanita
603,Wardi Sihombing,2024-11-28,Hukum Pidana,+62 (014) 206-4,"Jalan Bangka Raya No. 368, Palembang, MU 54023",pengacara603_together-teacher@ud.my.id,Batam,1973-06-01,Laki-Laki
604,Bakti Thamrin,2025-09-29,Hukum Bisnis,088 219 6878,"Jalan Ahmad Dahlan No. 06, Kota Administrasi Jakarta Selatan, MA 85119",pengacara604_court-drop@ud.biz.id,Langsa,1972-03-23,Wanita
605,Sutan Mahfud Yuniar,2025-07-03,Hukum Keluarga,+62-26-217-5036,"Gang Peta No. 9, Tanjungpinang, SG 10056",pengacara605_professor-station@perum.mil.id,Surakarta,1984-09-17,Laki-Laki
606,Vicky Thamrin,2025-02-10,Hukum Properti,+62-0991-747-06,"Gg. Peta No. 532, Mojokerto, SR 29500",pengacara606_guess-ground-still@pt.com,Ternate,1987-10-02,Laki-Laki
607,"Sidiq Padmasari, S.E.I",2024-10-05,Hukum Tata Negara,+62-0081-298-10,"Jalan Dr. Djunjunan No. 1, Tarakan, Jawa Timur 94312",pengacara607_customer-take-light@pd.net,Batam,1976-10-30,Wanita
608,Ayu Utami,2025-05-21,Hukum Kepailitan,+62 (0210) 758 ,"Jl. Gardujati No. 82, Cirebon, SG 21857",pengacara608_support-piece-trial@cv.edu,Bekasi,1994-03-01,Laki-Laki
609,Ir. Ifa Hutagalung,2025-02-05,Hukum Kepailitan,(026) 468-0880,"Gg. Ciumbuleuit No. 50, Surabaya, Maluku Utara 87937",pengacara609_unit-once-mrs-less@pt.int,Probolinggo,1985-11-01,Wanita
610,"Estiawan Puspasari, S.T.",2024-05-18,Hukum Perdata,0868773642,"Jalan Jend. A. Yani No. 0, Yogyakarta, LA 01078",pengacara610_fear-early-raise@perum.go.id,Gorontalo,1977-05-30,Wanita
611,Putri Nashiruddin,2025-02-02,Hukum Kepailitan,+62-0977-802-80,"Jl. S. Parman No. 378, Banjarmasin, Sulawesi Utara 94629",pengacara611_ability-language@cv.int,Ternate,1993-12-12,Laki-Laki
612,Halim Hariyah,2024-10-01,Hukum Tata Negara,(050) 340-1850,"Jalan Moch. Toha No. 20, Denpasar, ST 20223",pengacara612_attorney-play-night@pt.int,Tebingtinggi,1971-09-12,Wanita
613,Karen Ardianto,2025-12-25,Hukum Pajak,+62-0753-861-17,"Jalan Veteran No. 7, Mojokerto, Sumatera Selatan 02226",pengacara613_friend-picture@ud.mil,Pasuruan,1983-03-25,Wanita
614,Nilam Wastuti,2024-09-26,Hukum Kepailitan,(0248) 687-6535,"Jl. Jamika No. 2, Tangerang, JB 08415",pengacara614_all-executive-room@perum.id,Balikpapan,1977-11-14,Laki-Laki
615,Lidya Mandala,2024-09-15,Hukum Bisnis,+62 (667) 176-7,"Gang HOS. Cokroaminoto No. 8, Blitar, Bengkulu 32278",pengacara615_vote-could-soldier@cv.net,Depok,1974-08-11,Laki-Laki
616,Marsito Mansur,2025-03-11,Hukum Bisnis,+62 (450) 325 1,"Jalan Cihampelas No. 0, Surabaya, JI 23046",pengacara616_under-model-image@cv.net,Gorontalo,1971-11-09,Wanita
617,Hj. Ade Novitasari,2024-08-04,Hukum Perdata,+62-581-540-041,"Gang Rungkut Industri No. 64, Medan, BT 67417",pengacara617_certain-miss-his@perum.or.id,Pagaralam,1972-06-04,Laki-Laki
618,Ayu Prastuti,2025-04-13,Hukum Pajak,088 585 0726,"Gg. Peta No. 3, Bukittinggi, JK 05562",pengacara618_bill-manage-look@ud.org,Pasuruan,1982-12-16,Laki-Laki
619,R.A. Ade Hassanah,2025-01-26,Hukum Tata Negara,+62 (234) 830-6,"Gg. Cihampelas No. 9, Lubuklinggau, SG 50321",pengacara619_mind-ball-coach-buy@cv.net.id,Blitar,1994-10-20,Laki-Laki
620,"Cahya Hutapea, S.Pd",2024-08-30,Hukum Bisnis,+62 (33) 613 24,"Gang Kiaracondong No. 276, Singkawang, KB 13325",pengacara620_situation-health@pd.sch.id,Blitar,1994-07-14,Wanita
621,"R.A. Nova Haryanto, S.E.I",2025-04-21,Hukum Properti,+62 (033) 968-2,"Jl. Gedebage Selatan No. 108, Bau-Bau, AC 89971",pengacara621_talk-market-foot@pd.my.id,Padang Sidempuan,1988-10-12,Wanita
622,KH. Purwadi Sihombing,2025-05-01,Hukum Tata Negara,(0291) 080-9037,"Jl. BKR No. 2, Sabang, SU 16444",pengacara622_plant-popular-mr@cv.edu,Banda Aceh,1982-10-03,Laki-Laki
623,Vinsen Pratama,2025-03-16,Hukum Kepailitan,+62 (0250) 328 ,"Jl. Rumah Sakit No. 186, Mataram, Kalimantan Barat 08867",pengacara623_matter-or-thought@perum.sch.id,Banjarbaru,1991-09-10,Laki-Laki
